NomeDocente	ID_LATTES_MERGED	Vinculo	UnidadeExercicio	OrgaoExercicio	Curso	Habilitacao	Turno	Modalidade	ProgramaPG	DESC_NIVEL
MARIA CECI ARAUJO MISOCZKY	9637804118675867	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
MARIANA BALDI	3656763455168957	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
PAULO ANTONIO ZAWISLAK	0129423635403864	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
PAULO RICARDO ZILIO ABDALA	6838723975612043	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
RAQUEL JANISSEK MUNIZ	2553432941637716	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
SIDINEI ROCHA DE OLIVEIRA	6915992511951986	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
SILVIA GENERALI DA COSTA	6528211766075000	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
TANIA NUNES DA SILVA	4693674427102054	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
TIAGO PASCOAL FILOMENA	0049341984494164	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
VINICIUS ANDRADE BREI	9392068753290032	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
WALTER MEUCCI NIQUE	8967178363592981	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
ANDREA POLETO OLTRAMARI	1704115053163728	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
ANGELA BEATRIZ BUSATO SCHEFFER	0726302720276132	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
ANTONIO CARLOS GASTAUD MACADA	3043897632138906	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
ANTONIO DOMINGOS PADULA	3203712465096936	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
ARIEL BEHR	6735490077837110	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
ARISTON AZEVÊDO	7226534838995252	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
AURORA CARNEIRO ZEN	4675648528793125	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
CARMEM LIGIA IOCHINS GRISCI	1123038118413853	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
CLAUDIA SIMONE ANTONELLO	1477430317063576	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
CRISTIANE PIZZUTTI DOS SANTOS	9403441722826732	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
DANIEL DA SILVA LACERDA	9852713511571140	Colaborador	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
DANIELA CALLEGARO DE MENEZES	4543535405121206	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
DAVIDE CARBONAI	1654356891323370	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
DENIS BORENSTEIN	8373564643000623	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
DENISE LINDSTROM BANDEIRA	1688540976803513	Colaborador	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
ELAINE DI DIEGO ANTUNES	9333404937259230	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
EUGENIO AVILA PEDROZO	0734321648126694	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
FABIO BITTENCOURT MEIRA	8190242701584269	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
FERNANDA MACIEL REICHERT	7456942558948851	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
FERNANDO BINS LUCE	7597928710439425	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
FERNANDO DIAS LOPES	4630522734036641	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
GUILHERME KIRCH	4483880021177489	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
JOAO LUIZ BECKER	4851172736404835	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
LISIANE QUADRADO CLOSS	9923109196267398	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
LUCIANO FERREIRA	2012931032697595	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
LUIS FELIPE MACHADO DO NASCIMENTO	5801501389356871	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
LUIZ ANTONIO SLONGO	1902788698931900	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
MARCELO BRUTTI RIGHI	0441646892659099	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
MARCELO SAVINO PORTUGAL	6723737598210318	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
MARCELO SCHERER PERLIN	3262699324398819	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
MARCIA DUTRA DE BARCELLOS	5277492107669504	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
MARIA BEATRIZ RODRIGUES	6210892207375596	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
MARIA CECI ARAUJO MISOCZKY	9637804118675867	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
MARIANA BALDI	3656763455168957	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
PAULO ANTONIO ZAWISLAK	0129423635403864	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
PAULO RICARDO ZILIO ABDALA	6838723975612043	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
RAFAEL KRUTER FLORES	5309054259572811	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
RAQUEL JANISSEK MUNIZ	2553432941637716	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
RONALDO BORDIN	6909911499178658	Colaborador	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
ROSIMERI DE FÁTIMA CARVALHO DA SILVA	8451899278385317	Colaborador	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
SIDINEI ROCHA DE OLIVEIRA	6915992511951986	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
SILVIA GENERALI DA COSTA	6528211766075000	Colaborador	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
SUELI MARIA GOULART SILVA	0298247513754584	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
TAKEYOSHI IMASATO	4646842973643426	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
TANIA NUNES DA SILVA	4693674427102054	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
TIAGO PASCOAL FILOMENA	0049341984494164	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
VINICIUS ANDRADE BREI	9392068753290032	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
WALTER MEUCCI NIQUE	8967178363592981	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO	Acadêmico
ANDREA TROLLER PINTO	5128560186039381	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	AGRONEGÓCIOS	Acadêmico
ANGELA ROZANE LEAL DE SOUZA	3857158621802457	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	AGRONEGÓCIOS	Acadêmico
ANTONIO DOMINGOS PADULA	3203712465096936	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	AGRONEGÓCIOS	Acadêmico
DANIELA CALLEGARO DE MENEZES	4543535405121206	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	AGRONEGÓCIOS	Acadêmico
EDSON TALAMINI	0286666531410312	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	AGRONEGÓCIOS	Acadêmico
GLAUCO SCHULTZ	3283006619348405	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	AGRONEGÓCIOS	Acadêmico
HOMERO DEWES	0829196102467784	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	AGRONEGÓCIOS	Acadêmico
JEAN PHILIPPE PALMA REVILLION	2462808113611690	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	AGRONEGÓCIOS	Acadêmico
JOAO ARMANDO DESSIMON MACHADO	9583873223268882	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	AGRONEGÓCIOS	Acadêmico
JULIO OTAVIO JARDIM BARCELLOS	8764485326718018	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	AGRONEGÓCIOS	Acadêmico
KELLY LISSANDRA BRUCH	2285127061716886	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	AGRONEGÓCIOS	Acadêmico
LEONARDO XAVIER DA SILVA	9345912025013527	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	AGRONEGÓCIOS	Acadêmico
LETICIA DE OLIVEIRA	4905243643727116	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	AGRONEGÓCIOS	Acadêmico
LIRIS KINDLEIN	1678108999194532	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	AGRONEGÓCIOS	Acadêmico
MARCELINO DE SOUZA	8636371353890200	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	AGRONEGÓCIOS	Acadêmico
PAULO DABDAB WAQUIL	4781103785991122	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	AGRONEGÓCIOS	Acadêmico
VERONICA SCHMIDT	1443941093004699	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	AGRONEGÓCIOS	Acadêmico
ANA BEATRIZ ALMEIDA DE OLIVE	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTAÇÃO, NUTRIÇÃO E SAÚDE	Acadêmico
ANA BEATRIZ ALMEIDA DE OLIVEIRA	4414359455125552	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Acadêmico
CAROLINA GUERINI DE SOUZA	0007772157372769	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Acadêmico
GABRIELA CORREA SOUZA	5286292084781415	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Acadêmico
HELEN HERMANA MIRANDA HERMSDORFF	8193454290644430	Colaborador	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Acadêmico
ILAINE SCHUCH	9930640555125091	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Acadêmico
JULIANA ROMBALDI BERNARDI	9282528583140456	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Acadêmico
JUSSARA CARNEVALE DE ALMEIDA	7963821660167440	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Acadêmico
MARIA TERESA ANSELMO OLINTO	9039273079632174	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Acadêmico
MARTINE ELISABETH KIENZLE HAGEN	3164458516528644	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Acadêmico
MICHELE DREHMER	1255441506880461	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Acadêmico
RAQUEL CANUTO	3356700556643498	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Acadêmico
THAIS STEEMBURGO	0331222108426583	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Acadêmico
VALESCA DALL ALBA	0695430441325943	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Acadêmico
VANUSKA LIMA DA SILVA	0608796051163103	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Acadêmico
VERA LUCIA BOSA	0083415002671906	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Acadêmico
VIVIAN CRISTINE LUFT	1865443718607608	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Acadêmico
VIVIANI RUFFO DE OLIVEIRA	6276610455202824	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTAÇÃO NUTRIÇÃO E SAÚDE	Acadêmico
CESAR AUGUSTO MARCHIONATTI AVANCINI	9342325670557644	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTOS DE ORIGEM ANIMAL	Acadêmico
DAVID DRIEMEIER	6841118121493906	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTOS DE ORIGEM ANIMAL	Acadêmico
GUIOMAR PEDRO BERGMANN	8867210063530281	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTOS DE ORIGEM ANIMAL	Acadêmico
JOSE MARIA WIEST	3155933203201052	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTOS DE ORIGEM ANIMAL	Acadêmico
LEONARDO WERLANG ISOLAN	8920966992214379	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTOS DE ORIGEM ANIMAL	Acadêmico
LIRIS KINDLEIN	1678108999194532	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTOS DE ORIGEM ANIMAL	Acadêmico
LISIANE PRISCILA ROLDAO SELAU	7204514402989977	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTOS DE ORIGEM ANIMAL	Acadêmico
MARCIA MONKS JANTZEN	1895036987405122	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTOS DE ORIGEM ANIMAL	Acadêmico
MARIA EUGENIA ANDRIGHETTO CANOZZI	8178624623031720	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTOS DE ORIGEM ANIMAL	Acadêmico
MARY JANE TWEEDIE DE MATTOS GOMES	5147398683763004	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTOS DE ORIGEM ANIMAL	Acadêmico
NEILA SILVIA PEREIRA DOS SANTOS RICHARDS	0618653776990780	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTOS DE ORIGEM ANIMAL	Acadêmico
SAIONARA ARAUJO WAGNER	0555273106861409	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTOS DE ORIGEM ANIMAL	Acadêmico
SUSANA CARDOSO	4823503014598071	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ALIMENTOS DE ORIGEM ANIMAL	Acadêmico
ANA LUIZA CARVALHO DA ROCHA	5633849867865936	Colaborador	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ANTROPOLOGIA SOCIAL	Acadêmico
ARI PEDRO ORO	3935346650549291	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ANTROPOLOGIA SOCIAL	Acadêmico
ARLEI SANDER DAMO	9535835543378743	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ANTROPOLOGIA SOCIAL	Acadêmico
BERNARDO LEWGOY	3088318037496321	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ANTROPOLOGIA SOCIAL	Acadêmico
CARLOS ALBERTO STEIL	8796668741094021	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ANTROPOLOGIA SOCIAL	Acadêmico
CARLOS EDUARDO VALENTE DULLO	4789004961395272	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ANTROPOLOGIA SOCIAL	Acadêmico
CERES GOMES VICTORA	7187238922547625	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ANTROPOLOGIA SOCIAL	Acadêmico
CLAUDIA LEE WILLIAMS FONSECA	8620249965221608	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ANTROPOLOGIA SOCIAL	Acadêmico
CORNELIA ECKERT	7446126566413577	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ANTROPOLOGIA SOCIAL	Acadêmico
DANIELA RIVA KNAUTH	6297361141719296	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ANTROPOLOGIA SOCIAL	Acadêmico
DENISE FAGUNDES JARDIM	3296337995365996	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ANTROPOLOGIA SOCIAL	Acadêmico
EMERSON ALESSANDRO GIUMBELLI	4268492948743246	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ANTROPOLOGIA SOCIAL	Acadêmico
FABIENE DE MORAES VASCONCELOS GAMA	5628792286515877	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ANTROPOLOGIA SOCIAL	Acadêmico
